page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,,243,"Stine, Steven","Finish Gun
02:38:18",18-39,M
1,,244,"Madden, Charlie","Finish Gun
02:36:10",18-39,M
1,,245,"Che, Austin","Finish Gun
02:36:05",18-39,M
1,,246,"Moll, Quinlan","Finish Gun
02:36:13",18-39,M
1,,247,"Schaefer, Samalya","Finish Gun
02:36:25",40-44,M
1,,248,"Vangampleare, Sam","Finish Gun
02:36:19",18-39,M
1,,249,"Pane, John-Louis","Finish Gun
02:36:49",18-39,M
1,,250,"Busher, Kyle","Finish Gun
02:36:36",18-39,M
1,,251,"Rodrigues, Vitor","Finish Gun
02:36:25",40-44,M
1,,252,"Tholl, Brian","Finish Gun
02:36:30",18-39,M
1,,253,"Thomaz, Danilo","Finish Gun
02:36:24",18-39,M
1,,254,"Witthus, Alexander","Finish Gun
02:36:44",18-39,M
1,,255,"Alvarez Yepes, Carlos","Finish Gun
02:36:34",45-49,M
1,,256,"Riley, Colin","Finish Gun
02:36:33",18-39,M
1,,257,"Salvador, Xavier","Finish Gun
02:36:34",18-39,M
1,,258,"Tilley, Justin","Finish Gun
02:36:38",40-44,M
1,,259,"Wada, Ryuta","Finish Gun
02:36:52",18-39,M
1,,260,"Corsi, Jake","Finish Gun
02:36:51",18-39,M
1,,261,"Orlando, Chris","Finish Gun
02:37:10",18-39,M
1,,262,"Robben, Daan","Finish Gun
02:36:48",18-39,M
1,,263,"Zimmerman, Zach","Finish Gun
02:37:00",18-39,M
1,,264,"Aarnes, Hans Chr.","Finish Gun
02:36:50",18-39,M
1,,265,"Ehrgott, Kevin","Finish Gun
02:37:08",18-39,M
1,,266,"Rey, Carson","Finish Gun
02:37:43",18-39,M
1,,267,"Stern, Jeffrey","Finish Gun
02:37:06",18-39,M
1,,268,"O'Hara, Chip","Finish Gun
02:37:08",40-44,M
1,,269,"Gilzean, Calvin","Finish Gun
02:37:13",18-39,M
1,,270,"Panasuk, Joshua","Finish Gun
02:38:06",18-39,M
1,,271,"Scarlett, Michael","Finish Gun
02:37:18",18-39,M
1,,272,"Dube, Thomas","Finish Gun
02:37:17",18-39,M
1,,273,"Predhome, Alexander","Finish Gun
02:37:24",18-39,M
1,,274,"Lee, Jacob","Finish Gun
02:37:29",18-39,M
1,,275,"Mazzanti, Robert","Finish Gun
02:38:07",18-39,M
1,,276,"O'keefe, Luke","Finish Gun
02:37:34",18-39,M
1,,277,"Johnsrud, Derek","Finish Gun
02:37:25",18-39,M
1,,278,"Natewa, Tyrell","Finish Gun
02:37:36",18-39,M
1,,279,"Crichlow, Garrett","Finish Gun
02:37:28",18-39,M
1,,280,"Daniels, James","Finish Gun
02:37:32",18-39,M
1,,281,"Patel, Hamzah","Finish Gun
02:40:33",18-39,M
1,,282,"Morin, Clark","Finish Gun
02:38:19",18-39,M
1,,283,"Tomin, Milan","Finish Gun
02:37:34",18-39,M
1,,284,"Adgalanis, Tyler","Finish Gun
02:37:41",18-39,M
1,,285,"Yee, Ted","Finish Gun
02:38:27",18-39,M
1,,286,"Holmen, Ian","Finish Gun
02:38:23",18-39,M
1,,287,"Wilson, Robert","Finish Gun
02:37:41",18-39,M
1,,288,"Garbier, James","Finish Gun
02:37:52",18-39,M
1,,289,"Hill, Erik","Finish Gun
02:37:47",18-39,M
1,,290,"D'Orfani, Ross","Finish Gun
02:37:39",18-39,M
1,,291,"Veltema, Derek","Finish Gun
02:38:02",18-39,M
1,,292,"Matsuno, Myles","Finish Gun
02:37:47",18-39,M
1,,293,"Fujita, Fumiaki","Finish Gun
02:39:13",18-39,M
1,,294,"Roessler, Julian","Finish Gun
02:39:16",18-39,M
1,,295,"Nida, Esayas","Finish Gun
02:37:50",18-39,M
1,,296,"Mitchell, Liam","Finish Gun
02:38:32",18-39,M
1,,297,"Leino, Russell","Finish Gun
02:38:04",40-44,M
1,,298,"Manning, Benjamin","Finish Gun
02:38:20",18-39,M
1,,299,"Iverson, Ian","Finish Gun
02:38:06",18-39,M
1,,300,"Watt, Adam","Finish Gun
02:38:50",18-39,M
1,,301,"Estopinal, Matthew","Finish Gun
02:38:14",18-39,M
