page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,3278,245,"Mc Cready, Helen",03:04:27,18-39,W
1,3284,246,"Morizaki, Chizu",03:07:20,45-49,W
1,3291,247,"Kirkpatrick, Grace",03:03:20,18-39,W
1,3294,248,"De Almeida, Helena",03:07:28,18-39,W
1,3297,249,"Barrett, Tessa",03:03:30,18-39,W
1,3321,250,"Rössler, Hannah",03:03:28,18-39,W
1,3322,251,"Atri, Linda",03:03:23,18-39,W
1,3325,252,"Veit, Kristen",03:07:42,18-39,W
1,3327,253,"Lawler, Paige",03:03:47,18-39,W
1,3345,254,"Mauermann, Abby",03:04:28,18-39,W
1,3350,255,"Demoulin, Reka",03:05:13,18-39,W
1,3353,256,"Lamarre, Shannon",03:05:54,18-39,W
1,3357,257,"Lowry, Cristina",03:09:13,18-39,W
1,3365,258,"Wendtland, Marissa",03:08:15,18-39,W
1,3371,259,"Carron, Angela",03:08:15,45-49,W
1,3373,260,"Duepner, Vicki",03:05:02,40-44,W
1,3376,261,"He, Lingyi",03:10:10,18-39,W
1,3386,262,"Holden, Georgia",03:06:10,18-39,W
1,3388,263,"Ludwig, Andrea",03:04:23,18-39,W
1,3399,264,"Devito, Gabby",03:08:31,18-39,W
1,3405,265,"Evans, Sarah",03:07:45,40-44,W
1,3417,266,"Johnson, Sarah",03:07:30,40-44,W
1,3421,267,"Siska, Lindsey",03:09:38,18-39,W
1,3432,268,"Nay, Bethany",03:08:49,40-44,W
1,3444,269,"Bayer, Andrea",03:05:25,40-44,W
1,3445,270,"Hacker, Kristina",03:05:40,18-39,W
1,3450,271,"Hanley, Viviana",03:04:08,18-39,W
1,3459,272,"Downes, Helen",03:04:39,18-39,W
1,3462,273,"Frieden, Eva",03:11:21,18-39,W
1,3465,274,"Zaragoza, Daniela",03:04:46,18-39,W
1,3495,275,"Bacon, Taylor",03:06:54,18-39,W
1,3507,276,"Czech, Agata",03:04:06,18-39,W
1,3510,277,"Donahoe, Julie",03:12:21,18-39,W
1,3524,278,"Herring, Breanna",03:07:13,18-39,W
1,3530,279,"Tully, Emily",03:08:43,18-39,W
1,3531,280,"Tully, Sarah",03:08:43,18-39,W
1,3532,281,"Long, Sophie",03:08:43,18-39,W
1,3538,282,"Nielsen, Stephanie",03:08:34,40-44,W
1,3539,283,"Ward, Marissa",03:07:17,18-39,W
1,3542,284,"Tenkate, Melissa",03:09:55,18-39,W
1,3553,285,"Trimble, Georgia",03:04:48,18-39,W
1,3554,286,"Franco, Clare",03:05:34,18-39,W
1,3567,287,"Rhodes, Baili",03:08:56,18-39,W
1,3568,288,"Singh, Meera",03:04:20,18-39,W
1,3569,289,"Bouton, Megan",03:08:04,18-39,W
1,3570,290,"Shimada, Stephanie",03:05:12,18-39,W
1,3572,291,"Nalepa, Abbigail",03:05:09,18-39,W
1,3573,292,"Carton, Seanagh",03:04:55,18-39,W
1,3577,293,"Barkey, Katelin",03:04:29,18-39,W
1,3583,294,"King, Lauren",03:10:16,40-44,W
1,3590,295,"O'brien, Danielle",03:12:25,40-44,W
1,3593,296,"Filmanowicz, Paige",03:08:26,18-39,W
1,3610,297,"Loughlin, Colleen",03:05:52,18-39,W
1,3618,298,"Wei, Qian",03:04:51,18-39,W
1,3630,299,"Luu, Eva",03:06:12,18-39,W
1,3634,300,"Levesque, Caroline",03:10:58,40-44,W
1,3654,301,"Cota, Jordanna",03:13:19,18-39,W
1,3674,302,"Bolton, Karina",03:13:47,18-39,W
1,3684,303,"Sanchez Jimenez, Evelia",03:10:23,18-39,W
1,3685,304,"Martin, Jenifer",03:11:51,50-54,W
1,3688,305,"Gaeta, Leah",03:10:02,18-39,W
1,3692,306,"Schlabach, Corrine",03:11:12,18-39,W
1,3693,307,"Bado, Denisse",03:05:40,18-39,W
